Category,Model,seed,wape,r2
Tealight Holders & Sets,7-Day Rolling Sum Baseline,0,29.76472842352848,0.2574357041962587
Tealight Holders & Sets,Linear Regression,0,32.367379588446084,0.28904245066675927
Tealight Holders & Sets,Random Forest,0,28.10736371624702,0.32907911763029396
Tealight Holders & Sets,XGBoost,0,28.566910145204094,0.2808649195439371
Tealight Holders & Sets,TabFM,0,23.427350929838063,0.5961111762032867
Tealight Holders & Sets,7-Day Rolling Sum Baseline,1,14.570849988288009,0.6828829481922398
Tealight Holders & Sets,Linear Regression,1,29.38505894994407,-0.12628452725047268
Tealight Holders & Sets,Random Forest,1,18.612588123285708,0.5045744547788276
Tealight Holders & Sets,XGBoost,1,17.59905348710949,0.5785582293768494
Tealight Holders & Sets,TabFM,1,19.243505416264462,0.479574793335364
Tealight Holders & Sets,7-Day Rolling Sum Baseline,2,28.232103121831752,0.28913245855193326
Tealight Holders & Sets,Linear Regression,2,25.571921470407393,0.4870115561549475
Tealight Holders & Sets,Random Forest,2,28.87570771175394,0.401143485884184
Tealight Holders & Sets,XGBoost,2,27.741435884143883,0.4942947619264805
Tealight Holders & Sets,TabFM,2,19.576418137217285,0.7410960334272372
Tealight Holders & Sets,7-Day Rolling Sum Baseline,3,20.359500303986565,0.4266667788000803
Tealight Holders & Sets,Linear Regression,3,17.56387707291513,0.6009478983382037
Tealight Holders & Sets,Random Forest,3,15.25022618048117,0.653182631153408
Tealight Holders & Sets,XGBoost,3,17.29811665662614,0.5724312450749206
Tealight Holders & Sets,TabFM,3,12.953805601806323,0.7305072530166669
Tealight Holders & Sets,7-Day Rolling Sum Baseline,4,16.004865218721793,0.6448456225247141
Tealight Holders & Sets,Linear Regression,4,39.72355823460535,-0.6476391836273603
Tealight Holders & Sets,Random Forest,4,20.523777981786413,0.5013137495996853
Tealight Holders & Sets,XGBoost,4,16.278894839578033,0.7116696313952724
Tealight Holders & Sets,TabFM,4,13.374725694424269,0.7706886790824261
Tealight Holders & Sets,7-Day Rolling Sum Baseline,5,15.92501252738831,0.718581832863903
Tealight Holders & Sets,Linear Regression,5,17.756719599039283,0.7433261655112572
Tealight Holders & Sets,Random Forest,5,18.866675837042422,0.7048191242511399
Tealight Holders & Sets,XGBoost,5,17.716987251770412,0.7240597875145136
Tealight Holders & Sets,TabFM,5,17.365182666899813,0.7244534001118543
Tealight Holders & Sets,7-Day Rolling Sum Baseline,6,17.279569214220977,0.6921262071180851
Tealight Holders & Sets,Linear Regression,6,17.678812878501216,0.7617427922384176
Tealight Holders & Sets,Random Forest,6,15.918986976166686,0.7836911100451525
Tealight Holders & Sets,XGBoost,6,16.653264383785192,0.7817174230380263
Tealight Holders & Sets,TabFM,6,13.625230886287959,0.8533414479398198
Tealight Holders & Sets,7-Day Rolling Sum Baseline,7,29.738636486823424,-0.3333981523054099
Tealight Holders & Sets,Linear Regression,7,28.62146096166955,-0.16576269039807645
Tealight Holders & Sets,Random Forest,7,31.183259798873316,-0.4156325440896944
Tealight Holders & Sets,XGBoost,7,35.858556425220236,-0.8451119029742975
Tealight Holders & Sets,TabFM,7,24.755431508499825,0.2075843720141236
Tealight Holders & Sets,7-Day Rolling Sum Baseline,8,21.457568716499882,0.6280170331178121
Tealight Holders & Sets,Linear Regression,8,21.296664659575267,0.6491559940059772
Tealight Holders & Sets,Random Forest,8,17.272803184326566,0.7722811930152611
Tealight Holders & Sets,XGBoost,8,18.17865917373112,0.7539089812056945
Tealight Holders & Sets,TabFM,8,15.599103530812478,0.8162327233603861
Tealight Holders & Sets,7-Day Rolling Sum Baseline,9,28.77869738971688,-0.11289266824241251
Tealight Holders & Sets,Linear Regression,9,34.475546161885504,-0.5459491897534618
Tealight Holders & Sets,Random Forest,9,32.71401560186853,-0.2664380329194165
Tealight Holders & Sets,XGBoost,9,32.54471882679524,-0.4920532001005362
Tealight Holders & Sets,TabFM,9,22.97058388712999,0.45901872362169305
Tealight Holders & Sets,7-Day Rolling Sum Baseline,10,20.571818718345337,0.5334194759569538
Tealight Holders & Sets,Linear Regression,10,23.873913947623933,0.260317586462368
Tealight Holders & Sets,Random Forest,10,17.608085849955447,0.6594204207570971
Tealight Holders & Sets,XGBoost,10,16.11927837205947,0.6854910571938198
Tealight Holders & Sets,TabFM,10,17.43558785217923,0.6614914450212016
Tealight Holders & Sets,7-Day Rolling Sum Baseline,11,18.660975224454333,0.6665781342723416
Tealight Holders & Sets,Linear Regression,11,18.1856275215977,0.7106878510149078
Tealight Holders & Sets,Random Forest,11,17.61130236170717,0.7329552405184229
Tealight Holders & Sets,XGBoost,11,17.379167762206553,0.7405299374166894
Tealight Holders & Sets,TabFM,11,15.214150927617387,0.8203979478326535
Tealight Holders & Sets,7-Day Rolling Sum Baseline,12,18.504710331918563,0.5951595066557059
Tealight Holders & Sets,Linear Regression,12,15.516908152521061,0.6851300322842333
Tealight Holders & Sets,Random Forest,12,15.451791312653576,0.6768349749074327
Tealight Holders & Sets,XGBoost,12,15.449994626766134,0.6873095186916749
Tealight Holders & Sets,TabFM,12,15.481572436909524,0.7134859274734818
Tealight Holders & Sets,7-Day Rolling Sum Baseline,13,20.359500303986565,0.4266667788000803
Tealight Holders & Sets,Linear Regression,13,13.948422576839423,0.7251323927252736
Tealight Holders & Sets,Random Forest,13,16.158668321704642,0.6083099382678694
Tealight Holders & Sets,XGBoost,13,17.495038042001944,0.5783385932190777
Tealight Holders & Sets,TabFM,13,14.825504038254584,0.6718346748100006
Tealight Holders & Sets,7-Day Rolling Sum Baseline,14,28.326949035058917,-0.3229856544187504
Tealight Holders & Sets,Linear Regression,14,44.935283736929044,-1.8561245899294176
Tealight Holders & Sets,Random Forest,14,31.153675531720843,-0.5480817984471764
Tealight Holders & Sets,XGBoost,14,35.143909635958195,-0.8733150516086472
Tealight Holders & Sets,TabFM,14,20.096963845775875,0.45395002487399116
Tealight Holders & Sets,7-Day Rolling Sum Baseline,15,31.42759713994464,-0.4327670694622585
Tealight Holders & Sets,Linear Regression,15,26.709535435193736,0.1879858528232109
Tealight Holders & Sets,Random Forest,15,21.874061793737916,0.3192705237799377
Tealight Holders & Sets,XGBoost,15,19.94219349699266,0.3680730504720312
Tealight Holders & Sets,TabFM,15,16.679624104333843,0.6586813110326148
Tealight Holders & Sets,7-Day Rolling Sum Baseline,16,20.427155798832754,0.6364240118558058
Tealight Holders & Sets,Linear Regression,16,26.629905683749637,0.4821524142158048
Tealight Holders & Sets,Random Forest,16,23.451865058049293,0.570668771705273
Tealight Holders & Sets,XGBoost,16,24.231444147508107,0.5494419646734413
Tealight Holders & Sets,TabFM,16,16.0025223812321,0.8219245382985355
Tealight Holders & Sets,7-Day Rolling Sum Baseline,17,25.557562520311073,-0.0431608882687311
Tealight Holders & Sets,Linear Regression,17,33.32059061090652,-0.5100614823487288
Tealight Holders & Sets,Random Forest,17,33.64139150676028,-0.4567471707994659
Tealight Holders & Sets,XGBoost,17,35.5269240961101,-0.7393462433271529
Tealight Holders & Sets,TabFM,17,22.325951261488743,0.4635651387392986
Tealight Holders & Sets,7-Day Rolling Sum Baseline,18,27.306945118989802,-0.12313751134218665
Tealight Holders & Sets,Linear Regression,18,22.921988616727575,0.35884996570942995
Tealight Holders & Sets,Random Forest,18,23.9495109124575,0.2844681583155413
Tealight Holders & Sets,XGBoost,18,22.81088141227822,0.2887835298440997
Tealight Holders & Sets,TabFM,18,20.099053422243284,0.46501670372749826
Tealight Holders & Sets,7-Day Rolling Sum Baseline,19,20.427155798832754,0.6364240118558058
Tealight Holders & Sets,Linear Regression,19,26.756797996697934,0.527843741365522
Tealight Holders & Sets,Random Forest,19,26.572191702724346,0.512354156574769
Tealight Holders & Sets,XGBoost,19,23.054185002308873,0.6056785544916874
Tealight Holders & Sets,TabFM,19,17.958504025027683,0.7820268608910037
Tealight Holders & Sets,7-Day Rolling Sum Baseline,20,16.2747909743403,0.6331158303501798
Tealight Holders & Sets,Linear Regression,20,43.40117543874308,-0.8787200991199153
Tealight Holders & Sets,Random Forest,20,25.096447701855816,0.2614387250548672
Tealight Holders & Sets,XGBoost,20,30.853071710726603,-0.12825439931807447
Tealight Holders & Sets,TabFM,20,19.26489606420758,0.52173677567294
Tealight Holders & Sets,7-Day Rolling Sum Baseline,21,14.570849988288009,0.6828829481922398
Tealight Holders & Sets,Linear Regression,21,34.07937173715173,-0.352769942582005
Tealight Holders & Sets,Random Forest,21,30.20983164957724,-0.0012739211956245278
