Category,Model,wape_mean,wape_std,wape_min,wape_max,r2_mean,win_rate
Jewellery - Earrings,TabFM,71.366,9.45,58.445,80.033,0.4,0.4
Jewellery - Earrings,XGBoost,74.215,6.243,66.098,83.623,0.148,0.4
Jewellery - Earrings,Random Forest,76.451,4.751,70.76,83.522,0.18,0.2
Jewellery - Earrings,Linear Regression,89.387,11.739,69.567,99.211,0.036,0.0
Jewellery - Earrings,7-Day Rolling Sum Baseline,108.774,18.828,82.63,134.149,-0.258,0.0
Tealight Holders & Sets,TabFM,17.703,4.436,13.0,23.183,0.664,0.8
Tealight Holders & Sets,XGBoost,21.497,6.104,16.279,28.567,0.528,0.0
Tealight Holders & Sets,7-Day Rolling Sum Baseline,21.786,6.941,14.571,29.765,0.46,0.2
Tealight Holders & Sets,Random Forest,22.274,5.988,15.25,28.876,0.478,0.0
Tealight Holders & Sets,Linear Regression,28.922,8.2,17.564,39.724,0.121,0.0
