Split,Category,Train WAPE (%),Val WAPE (%),Test WAPE (%),Test R2
Chronological,"Furniture, Cabinets & Storage Furniture",4.12,26.88,11.34,0.159
Chronological,"Garden, Bird Feeding & Outdoor Décor",6.99,57.39,37.94,-0.555
Chronological,"Gift Wrap, Tape & Ribbons",4.19,42.03,15.85,-0.77
Chronological,"Glass Jars, Bottles & Vases",7.35,39.96,17.29,-0.344
Chronological,Hair Accessories,10.25,49.86,61.29,-0.368
Chronological,Hand Warmers & Umbrellas,6.29,50.99,31.52,-1.266
Chronological,Hot Water Bottles,5.26,70.21,44.71,-1.977
Chronological,"Jewellery - Bracelets, Rings & Brooches",4.93,41.64,27.21,-0.871
Chronological,Jewellery - Earrings,13.87,72.22,64.68,-0.454
Chronological,Jewellery - Necklaces,12.7,82.3,42.9,-1.688
Chronological,"Jigsaw Puzzles, Card Games & Board Games",7.68,49.81,31.86,-1.545
Chronological,Jumbo Bags & Shoppers,6.22,37.58,31.63,-0.222
Chronological,Kitchen Storage & Containers,7.76,26.13,17.14,-0.457
Chronological,Kitchen Utensils & Tools,4.62,22.15,36.57,-1.685
Chronological,Lamps & Lampshades,13.27,52.44,27.35,0.219
Chronological,Lanterns,7.24,47.31,33.94,-0.209
Chronological,Lunch Boxes & Snack Bags,5.53,29.06,30.01,-0.894
Chronological,Memo Boards & Blackboards,8.05,48.68,32.6,-0.004
Chronological,Metal Signs & Plaques,4.97,39.01,29.19,-0.275
Chronological,Mirrors,10.46,61.3,37.17,-0.556
Chronological,"Mugs, Cups & Glasses",4.22,37.31,45.59,-2.379
Chronological,"Paper Napkins, Doilies & Bunting",4.43,21.17,21.57,-0.097
Chronological,Party & Event Accessories,8.15,82.13,38.93,-0.242
Chronological,Picture Frames & Photo Accessories,5.81,39.86,37.35,-1.724
Chronological,"Plates, Bowls, Trays & Serveware",4.45,78.46,25.47,-0.001
Chronological,Sewing & Craft Kits,6.02,43.98,55.85,-3.825
Chronological,"Stationery, Notebooks & Greeting Cards",4.06,31.54,26.94,-1.573
Chronological,"Stickers, Patches & Badges",12.28,52.17,59.86,-2.366
Chronological,Tea & Coffee Sets,9.09,49.95,23.32,-0.056
Chronological,Tealight Holders & Sets,3.33,23.09,26.99,-2.658
Chronological,Travel & Office Accessories,7.3,37.13,58.23,-0.642
Chronological,Trinket Boxes & Keepsakes,5.28,54.65,39.24,-0.443
Chronological,Unclassified,7.54,57.19,46.77,-0.497
Chronological,Wall Art & Prints,12.11,96.29,277.39,-39.912
