Category,Model,seed,wape,r2
Tealight Holders & Sets,7-Day Rolling Sum Baseline,0,28.866755897063523,-0.8086903519996194
Tealight Holders & Sets,Linear Regression,0,23.510973557405237,-0.5197069876727856
Tealight Holders & Sets,Random Forest,0,20.52714031028335,-0.05044813309894236
Tealight Holders & Sets,XGBoost,0,20.2908977597204,-0.027774629987852517
Tealight Holders & Sets,7-Day Rolling Sum Baseline,1,49.99224866289435,-3.3327931757704397
Tealight Holders & Sets,Linear Regression,1,57.89136768516987,-3.661521986421711
Tealight Holders & Sets,Random Forest,1,37.49219440353461,-1.0910948523300346
Tealight Holders & Sets,XGBoost,1,37.16440268075149,-1.0994706199716076
Tealight Holders & Sets,7-Day Rolling Sum Baseline,2,22.936275980604606,-0.8339035867246234
Tealight Holders & Sets,Linear Regression,2,26.507482853428428,-1.5547139787723396
Tealight Holders & Sets,Random Forest,2,24.540829971736663,-1.4918447804361894
Tealight Holders & Sets,XGBoost,2,26.802699987799162,-1.8653922662492963
Tealight Holders & Sets,7-Day Rolling Sum Baseline,3,19.754494719045972,0.11902026542110145
Tealight Holders & Sets,Linear Regression,3,18.31838634563227,0.3106633608122179
Tealight Holders & Sets,Random Forest,3,26.01336599465542,-0.3747171211377771
Tealight Holders & Sets,XGBoost,3,28.018039186804945,-0.5271332733694734
Tealight Holders & Sets,7-Day Rolling Sum Baseline,4,16.234026612639422,0.7196878166703851
Tealight Holders & Sets,Linear Regression,4,46.832325242327904,-0.5717762515649731
Tealight Holders & Sets,Random Forest,4,28.19369875589604,0.40673992420468374
Tealight Holders & Sets,XGBoost,4,21.608666529240796,0.617956823947226
Tealight Holders & Sets,7-Day Rolling Sum Baseline,5,28.988215004311584,-7.226916355203409
Tealight Holders & Sets,Linear Regression,5,20.47112084175374,-1.9563682254914339
Tealight Holders & Sets,Random Forest,5,19.242628850023216,-2.7267771289632314
Tealight Holders & Sets,XGBoost,5,20.585501386150003,-2.9386501631648514
Tealight Holders & Sets,7-Day Rolling Sum Baseline,6,39.840703013148584,-3.1201594029156787
Tealight Holders & Sets,Linear Regression,6,35.79696733280179,-1.9871307305669985
Tealight Holders & Sets,Random Forest,6,15.906511758026559,0.4196816639231684
Tealight Holders & Sets,XGBoost,6,17.24354436267149,0.3966998064044799
Tealight Holders & Sets,7-Day Rolling Sum Baseline,7,16.134710752114913,0.6719495941693433
Tealight Holders & Sets,Linear Regression,7,23.07468456370218,0.33203173917911555
Tealight Holders & Sets,Random Forest,7,15.327228330298853,0.6928554387783975
Tealight Holders & Sets,XGBoost,7,16.222838781420375,0.6384234418603251
Tealight Holders & Sets,7-Day Rolling Sum Baseline,8,32.80674289727915,-3.183361094490661
Tealight Holders & Sets,Linear Regression,8,47.28382360937121,-8.32565524644222
Tealight Holders & Sets,Random Forest,8,43.31815367948619,-4.983707193330787
Tealight Holders & Sets,XGBoost,8,46.92882170243573,-5.662532086207928
Tealight Holders & Sets,7-Day Rolling Sum Baseline,9,18.445271779597917,0.7147021327735883
Tealight Holders & Sets,Linear Regression,9,16.540523024205715,0.783657421406539
Tealight Holders & Sets,Random Forest,9,22.53848101265823,0.6783859714243644
Tealight Holders & Sets,XGBoost,9,19.595131896706466,0.7385440131214921
Tealight Holders & Sets,7-Day Rolling Sum Baseline,10,11.899685960119488,0.29156397673419054
Tealight Holders & Sets,Linear Regression,10,24.777054719130984,-2.850203523786192
Tealight Holders & Sets,Random Forest,10,12.367330916332625,0.12133674026343655
Tealight Holders & Sets,XGBoost,10,13.899870846760745,-0.05871472065882921
Tealight Holders & Sets,7-Day Rolling Sum Baseline,11,18.811825038684955,0.6647575383378094
Tealight Holders & Sets,Linear Regression,11,20.51666401889746,0.6724006128835992
Tealight Holders & Sets,Random Forest,11,18.533096902773163,0.7358034930126516
Tealight Holders & Sets,XGBoost,11,17.1874133670949,0.7500606065460265
Tealight Holders & Sets,7-Day Rolling Sum Baseline,12,29.31477242820343,0.22231908668172196
Tealight Holders & Sets,Linear Regression,12,22.97247657914719,0.4643547908354648
Tealight Holders & Sets,Random Forest,12,22.750482498464773,0.5589210034012362
Tealight Holders & Sets,XGBoost,12,21.129203730490712,0.6081108062788232
Tealight Holders & Sets,7-Day Rolling Sum Baseline,13,37.73198208232944,-0.6654251413725765
Tealight Holders & Sets,Linear Regression,13,36.426833967455316,-0.3577857515456868
Tealight Holders & Sets,Random Forest,13,30.693967009277568,-0.04485690384563279
Tealight Holders & Sets,XGBoost,13,26.795256811849676,0.09223980667485432
Tealight Holders & Sets,7-Day Rolling Sum Baseline,14,39.971880791598316,-3.1555611308887936
Tealight Holders & Sets,Linear Regression,14,36.14321665527536,-1.5264424551244078
Tealight Holders & Sets,Random Forest,14,18.478804081545707,0.52919190024428
Tealight Holders & Sets,XGBoost,14,20.371744654712565,0.40518227651589966
Tealight Holders & Sets,7-Day Rolling Sum Baseline,15,17.357081854920363,0.7516929886594353
Tealight Holders & Sets,Linear Regression,15,23.634931140776143,0.6849645892914057
Tealight Holders & Sets,Random Forest,15,35.44651079865116,0.3730232908356391
Tealight Holders & Sets,XGBoost,15,16.64477671688043,0.8672352909411101
Tealight Holders & Sets,7-Day Rolling Sum Baseline,16,18.535328924469198,0.47318100658750106
Tealight Holders & Sets,Linear Regression,16,11.819438672443958,0.7944931040610453
Tealight Holders & Sets,Random Forest,16,14.850479173918089,0.6557148229361429
Tealight Holders & Sets,XGBoost,16,18.077367113172933,0.5103679289266633
Tealight Holders & Sets,7-Day Rolling Sum Baseline,17,13.082831002723294,0.0702538525158648
Tealight Holders & Sets,Linear Regression,17,30.1893192958489,-3.101078242824408
Tealight Holders & Sets,Random Forest,17,26.394149505829073,-2.7689592095948883
Tealight Holders & Sets,XGBoost,17,31.43154437617614,-5.438906541911387
Tealight Holders & Sets,7-Day Rolling Sum Baseline,18,20.650267924491335,0.3252096193156656
Tealight Holders & Sets,Linear Regression,18,20.55384699082107,0.530723119612931
Tealight Holders & Sets,Random Forest,18,21.882404659045264,0.5960656354690632
Tealight Holders & Sets,XGBoost,18,25.194771153123806,0.433488804102905
Tealight Holders & Sets,7-Day Rolling Sum Baseline,19,52.07423692417813,-4.701166813311052
Tealight Holders & Sets,Linear Regression,19,40.226900703519924,-3.022041627826071
Tealight Holders & Sets,Random Forest,19,27.933935784038038,-0.4705172339257513
Tealight Holders & Sets,XGBoost,19,21.782564332596248,0.19586673660879983
Tealight Holders & Sets,7-Day Rolling Sum Baseline,20,32.85401798314584,-0.8502507555876389
Tealight Holders & Sets,Linear Regression,20,22.127123813952345,0.38234763374433633
Tealight Holders & Sets,Random Forest,20,24.05524726825531,0.03672780794513586
Tealight Holders & Sets,XGBoost,20,28.044022779725047,-0.2757942972885403
Tealight Holders & Sets,7-Day Rolling Sum Baseline,21,32.61947684310361,0.049529404866758275
Tealight Holders & Sets,Linear Regression,21,40.44298175696838,-0.39309946910123883
Tealight Holders & Sets,Random Forest,21,36.856039544464,0.02839794277479324
Tealight Holders & Sets,XGBoost,21,36.8959337024337,-0.005556568621792213
Tealight Holders & Sets,7-Day Rolling Sum Baseline,22,31.535887932725704,-0.6057393616544664
Tealight Holders & Sets,Linear Regression,22,23.007482414752857,0.42107454183432846
Tealight Holders & Sets,Random Forest,22,20.08982455024099,0.5120351384100459
Tealight Holders & Sets,XGBoost,22,22.391706135944734,0.3229021984773307
Tealight Holders & Sets,7-Day Rolling Sum Baseline,23,21.605532503457813,0.542480866099754
Tealight Holders & Sets,Linear Regression,23,26.597356432584025,0.3300162725747887
Tealight Holders & Sets,Random Forest,23,22.456243430152142,0.5479102247930419
Tealight Holders & Sets,XGBoost,23,22.343197470032273,0.5561092915244038
Tealight Holders & Sets,7-Day Rolling Sum Baseline,24,17.276673142904386,0.693390701266498
Tealight Holders & Sets,Linear Regression,24,17.682517295850523,0.7561285040442541
Tealight Holders & Sets,Random Forest,24,14.88445082882064,0.784456680508764
Tealight Holders & Sets,XGBoost,24,14.125476089861674,0.8094910206760341
Tealight Holders & Sets,7-Day Rolling Sum Baseline,25,18.163857772882945,0.5759094636970561
