Category,Model,Train WAPE (%),Train R2,Validation WAPE (%),Validation R2,Test WAPE (%),Test R2,Test MAE,Test RMSE,Test Bias,X,Y,split_strategy,selected_on_validation
Sewing & Craft Kits,Linear Regression,19.199,0.456,38.468,-0.822,34.048,-1.123,404.997,519.646,-297.704,7,7,purged_chronological,False
Sewing & Craft Kits,Random Forest,5.64,0.943,28.054,0.043,25.721,-0.457,305.952,430.556,-215.808,7,7,purged_chronological,True
Sewing & Craft Kits,XGBoost,0.432,1.0,30.666,-0.232,29.778,-0.771,354.205,474.669,-235.592,7,7,purged_chronological,False
"Stationery, Notebooks & Greeting Cards",7-Day Rolling Sum Baseline,41.246,-1.449,23.546,-0.492,24.076,-1.114,1132.941,1383.02,-221.882,7,7,purged_chronological,False
"Stationery, Notebooks & Greeting Cards",Linear Regression,18.154,0.528,17.938,0.099,26.755,-1.664,1258.965,1552.552,-1187.745,7,7,purged_chronological,True
"Stationery, Notebooks & Greeting Cards",Random Forest,4.007,0.975,19.037,-0.025,53.466,-7.03,2515.91,2695.567,-2515.91,7,7,purged_chronological,False
"Stationery, Notebooks & Greeting Cards",XGBoost,0.169,1.0,19.128,-0.06,54.11,-7.19,2546.221,2722.154,-2546.221,7,7,purged_chronological,False
"Stickers, Patches & Badges",7-Day Rolling Sum Baseline,85.183,-0.932,76.594,-1.613,46.302,-1.046,371.902,447.305,-37.0,7,7,purged_chronological,False
"Stickers, Patches & Badges",Linear Regression,59.573,0.2,63.058,-0.81,83.249,-4.466,668.672,731.112,668.672,7,7,purged_chronological,True
"Stickers, Patches & Badges",Random Forest,14.766,0.932,94.123,-1.936,102.467,-9.063,823.028,992.011,789.51,7,7,purged_chronological,False
"Stickers, Patches & Badges",XGBoost,0.477,1.0,106.892,-3.751,119.873,-15.246,962.838,1260.434,800.252,7,7,purged_chronological,False
Tea & Coffee Sets,7-Day Rolling Sum Baseline,81.582,-1.882,51.062,-0.893,34.561,-1.5,176.686,222.265,-43.51,7,7,purged_chronological,False
Tea & Coffee Sets,Linear Regression,41.883,0.275,60.529,-1.529,28.509,-0.8,145.749,188.627,68.399,7,7,purged_chronological,False
Tea & Coffee Sets,Random Forest,9.255,0.953,49.138,-0.979,27.316,-0.644,139.651,180.242,35.563,7,7,purged_chronological,True
Tea & Coffee Sets,XGBoost,0.527,1.0,56.748,-2.22,27.951,-0.611,142.895,178.414,5.709,7,7,purged_chronological,False
Tealight Holders & Sets,7-Day Rolling Sum Baseline,30.145,-0.992,19.223,-1.893,18.348,-0.904,1411.51,1723.839,-786.373,7,7,purged_chronological,False
Tealight Holders & Sets,Linear Regression,15.802,0.535,14.381,-0.71,34.666,-4.494,2666.891,2928.437,-2666.891,7,7,purged_chronological,True
Tealight Holders & Sets,Random Forest,3.411,0.975,21.117,-2.177,31.586,-3.495,2429.987,2648.67,-2429.987,7,7,purged_chronological,False
Tealight Holders & Sets,XGBoost,0.19,1.0,20.447,-2.133,43.511,-6.969,3347.359,3526.872,-3347.359,7,7,purged_chronological,False
Travel & Office Accessories,7-Day Rolling Sum Baseline,62.81,-0.629,28.288,-0.62,46.943,-0.071,627.392,943.084,-505.353,7,7,purged_chronological,False
Travel & Office Accessories,Linear Regression,42.013,0.346,47.673,-3.21,50.488,-0.301,674.765,1039.571,-569.103,7,7,purged_chronological,False
Travel & Office Accessories,Random Forest,7.279,0.978,24.782,-0.419,78.539,-1.339,1049.672,1393.951,-1049.672,7,7,purged_chronological,True
Travel & Office Accessories,XGBoost,0.589,1.0,31.55,-1.036,80.266,-1.38,1072.748,1406.126,-1072.748,7,7,purged_chronological,False
Trinket Boxes & Keepsakes,7-Day Rolling Sum Baseline,37.008,-1.134,53.559,-1.815,53.373,-1.581,956.98,1206.043,0.706,7,7,purged_chronological,False
Trinket Boxes & Keepsakes,Linear Regression,22.117,0.311,53.607,-1.81,60.402,-2.322,1083.012,1368.104,-1059.258,7,7,purged_chronological,False
Trinket Boxes & Keepsakes,Random Forest,5.203,0.953,35.99,-0.611,53.22,-1.655,954.241,1223.21,-954.241,7,7,purged_chronological,False
Trinket Boxes & Keepsakes,XGBoost,0.357,1.0,31.826,-0.327,46.706,-1.201,837.439,1113.753,-823.015,7,7,purged_chronological,True
Unclassified,7-Day Rolling Sum Baseline,70.38,-0.337,52.366,-4.261,50.59,-0.61,25.235,33.739,-7.392,7,7,purged_chronological,False
Unclassified,Linear Regression,43.356,0.533,27.495,-0.407,53.77,-1.127,26.822,38.773,-18.855,7,7,purged_chronological,True
Unclassified,Random Forest,7.521,0.982,30.063,-0.775,64.764,-1.348,32.306,40.74,-32.232,7,7,purged_chronological,False
Unclassified,XGBoost,0.965,1.0,37.696,-2.268,70.445,-1.752,35.139,44.103,-35.105,7,7,purged_chronological,False
Wall Art & Prints,7-Day Rolling Sum Baseline,78.067,-0.134,96.687,-0.128,82.16,-9.642,765.412,1461.818,405.647,7,7,purged_chronological,True
Wall Art & Prints,Linear Regression,52.302,0.593,98.64,-0.105,86.25,-2.893,803.508,884.109,-634.25,7,7,purged_chronological,False
Wall Art & Prints,Random Forest,13.304,0.961,97.788,-0.118,91.014,-3.582,847.89,959.238,-847.89,7,7,purged_chronological,False
Wall Art & Prints,XGBoost,0.727,1.0,98.316,-0.109,91.071,-3.592,848.422,960.24,-848.422,7,7,purged_chronological,False
Wooden Letters & Number Tiles,7-Day Rolling Sum Baseline,50.544,-1.364,26.118,-2.397,38.334,-0.502,65.588,95.369,-31.078,7,7,purged_chronological,False
Wooden Letters & Number Tiles,Linear Regression,28.534,0.54,12.029,0.167,31.898,0.172,54.578,70.796,-15.872,7,7,purged_chronological,True
Wooden Letters & Number Tiles,Random Forest,4.976,0.984,14.08,-0.194,33.89,-0.243,57.985,86.755,-37.688,7,7,purged_chronological,False
Wooden Letters & Number Tiles,XGBoost,0.528,1.0,17.368,-0.825,34.253,-0.284,58.607,88.173,-39.085,7,7,purged_chronological,False
