Category,Model,Train WAPE (%),Train R2,Validation WAPE (%),Validation R2,Test WAPE (%),Test R2,Test MAE,Test RMSE,Test Bias,X,Y,split_strategy,selected_on_validation
"Clothing, Accessories & Beauty",7-Day Rolling Sum Baseline,62.161,-0.857,35.927,-1.205,35.743,-1.784,485.647,613.395,97.569,7,7,purged_chronological,True
"Clothing, Accessories & Beauty",Linear Regression,36.851,0.416,72.607,-4.718,40.408,-2.755,549.029,712.4,471.305,7,7,purged_chronological,False
"Clothing, Accessories & Beauty",Random Forest,7.992,0.964,62.675,-6.105,41.022,-2.504,557.376,688.12,460.781,7,7,purged_chronological,False
"Clothing, Accessories & Beauty",XGBoost,0.561,1.0,57.505,-5.847,39.719,-2.064,539.676,643.524,397.745,7,7,purged_chronological,False
"Coat Racks, Hooks & Hangers",7-Day Rolling Sum Baseline,45.666,-1.458,20.893,-0.165,35.832,-2.42,442.745,631.819,-83.569,7,7,purged_chronological,True
"Coat Racks, Hooks & Hangers",Linear Regression,23.228,0.309,24.651,-0.517,26.456,-0.626,326.888,435.721,-265.913,7,7,purged_chronological,False
"Coat Racks, Hooks & Hangers",Random Forest,5.385,0.955,27.524,-1.064,27.455,-1.001,339.232,483.246,-276.653,7,7,purged_chronological,False
"Coat Racks, Hooks & Hangers",XGBoost,0.118,1.0,30.579,-1.682,30.163,-1.212,372.692,508.1,-259.276,7,7,purged_chronological,False
Colouring & Art Supplies,7-Day Rolling Sum Baseline,44.199,-0.709,26.826,-1.335,28.157,-1.529,2292.529,2870.996,-104.137,7,7,purged_chronological,False
Colouring & Art Supplies,Linear Regression,23.106,0.479,21.307,-0.148,27.002,-1.607,2198.453,2914.662,-1865.128,7,7,purged_chronological,True
Colouring & Art Supplies,Random Forest,4.493,0.977,30.489,-1.514,48.486,-4.839,3947.682,4362.191,-3947.682,7,7,purged_chronological,False
Colouring & Art Supplies,XGBoost,0.141,1.0,28.33,-1.191,46.618,-4.718,3795.621,4316.932,-3795.621,7,7,purged_chronological,False
"Cushions, Quilts & Home Textiles",7-Day Rolling Sum Baseline,55.959,-1.645,25.993,-0.419,43.172,-4.334,342.961,434.517,152.412,7,7,purged_chronological,True
"Cushions, Quilts & Home Textiles",Linear Regression,27.364,0.449,55.595,-5.987,63.769,-7.497,506.585,548.424,-506.585,7,7,purged_chronological,False
"Cushions, Quilts & Home Textiles",Random Forest,7.566,0.944,62.481,-5.649,33.517,-2.014,266.261,326.634,-248.347,7,7,purged_chronological,False
"Cushions, Quilts & Home Textiles",XGBoost,0.841,0.999,66.72,-6.311,48.919,-4.589,388.621,444.784,-383.36,7,7,purged_chronological,False
Cutlery & Chopping Boards,7-Day Rolling Sum Baseline,56.757,-1.736,57.353,-0.655,26.195,-0.969,272.216,328.314,-52.255,7,7,purged_chronological,False
Cutlery & Chopping Boards,Linear Regression,25.426,0.464,51.676,-0.008,42.667,-4.017,443.385,523.998,-443.385,7,7,purged_chronological,False
Cutlery & Chopping Boards,Random Forest,6.387,0.963,47.414,-0.227,30.268,-1.906,314.537,398.793,-311.153,7,7,purged_chronological,True
Cutlery & Chopping Boards,XGBoost,0.342,1.0,47.803,-0.316,32.466,-2.191,337.376,417.923,-332.808,7,7,purged_chronological,False
Decorative Hanging Ornaments & Figurines,7-Day Rolling Sum Baseline,44.813,-1.272,32.82,-0.411,21.212,-1.237,1800.216,2149.715,-151.941,7,7,purged_chronological,False
Decorative Hanging Ornaments & Figurines,Linear Regression,25.403,0.324,41.474,-1.686,55.197,-10.931,4684.385,4964.537,-4684.385,7,7,purged_chronological,False
Decorative Hanging Ornaments & Figurines,Random Forest,4.187,0.968,30.741,-0.373,45.096,-7.126,3827.187,4097.124,-3827.187,7,7,purged_chronological,True
Decorative Hanging Ornaments & Figurines,XGBoost,0.325,1.0,33.504,-0.644,51.116,-9.215,4338.078,4593.542,-4338.078,7,7,purged_chronological,False
Doormats & Doorstops,7-Day Rolling Sum Baseline,103.129,-1.304,117.9,-1.272,40.912,-0.558,352.137,439.214,4.137,7,7,purged_chronological,False
Doormats & Doorstops,Linear Regression,66.172,0.396,85.262,-0.508,87.542,-6.649,753.496,973.226,433.67,7,7,purged_chronological,False
Doormats & Doorstops,Random Forest,12.539,0.951,81.462,-0.395,112.918,-11.363,971.916,1237.264,399.101,7,7,purged_chronological,False
Doormats & Doorstops,XGBoost,0.676,1.0,80.698,-0.38,109.223,-12.367,940.106,1286.529,344.933,7,7,purged_chronological,True
Easter Decorations,7-Day Rolling Sum Baseline,47.322,0.473,53.51,-0.795,137.43,-1.448,337.216,521.467,8.039,7,7,purged_chronological,True
Easter Decorations,Linear Regression,27.617,0.853,71.664,-1.18,438.001,-14.673,1074.734,1319.603,757.691,7,7,purged_chronological,False
Easter Decorations,Random Forest,3.903,0.996,190.819,-15.098,310.074,-6.43,760.837,908.561,476.943,7,7,purged_chronological,False
Easter Decorations,XGBoost,0.297,1.0,218.909,-18.942,298.643,-5.811,732.789,869.916,434.574,7,7,purged_chronological,False
